#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-9A532BCE9D88087-340B8780396A9BEF
#datatype	hitsConcise Results
#status	0
#Start time	2019-01-10T03:39:48	Run time	0:00:00:21
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - WP_003769416.1	specific	235388	1	329	0	545.142	PRK05286	PRK05286	 - 	cl27592
Q#2 - WP_003775336.1	specific	130875	26	587	0	1015.84	TIGR01816	sdhA_forward	 - 	cl27323
Q#3 - WP_003772333.1	specific	274043	6	290	1.3817e-139	399.264	TIGR02225	recomb_XerD	 - 	cl28330
Q#4 - WP_040666508.1	specific	235554	6	1133	0	1579.34	PRK05673	dnaE	 - 	cl26853
Q#5 - WP_003772081.1	specific	235310	1	502	0	871.921	PRK04750	ubiB	 - 	cl21453
Q#6 - WP_003771970.1	specific	234984	1	264	0	589.426	PRK01827	thyA	 - 	cl19097
Q#7 - WP_041961494.1	specific	235779	1	476	0	823.79	PRK06327	PRK06327	 - 	cl27343
Q#8 - WP_003774996.1	specific	235473	3	250	8.6399e-139	394.098	PRK05450	PRK05450	 - 	cl11394
Q#9 - WP_003771993.1	specific	224051	1	239	6.14312e-157	439.251	COG1126	GlnQ	 - 	cl28181
Q#10 - WP_003774743.1	superfamily	332668	5	314	2.37888e-166	483.921	cl27847	RlmI_M_like superfamily	N	 - 
Q#11 - WP_040665565.1	superfamily	320711	8	164	2.60341e-66	202.696	cl00015	nt_trans superfamily	 - 	 - 
Q#12 - WP_003771390.1	specific	234695	14	239	2.64374e-124	356.368	PRK00230	PRK00230	 - 	cl21457
Q#13 - WP_041961471.1	specific	235422	1	414	0	788.97	PRK05342	clpX	 - 	cl26528
Q#14 - WP_003774163.1	specific	235838	5	284	4.77522e-171	478.901	PRK06596	PRK06596	 - 	cl27146
Q#15 - WP_041961648.1	specific	236760	1	283	0	524.866	PRK10792	PRK10792	 - 	cl27642
Q#16 - WP_040666124.1	specific	99792	14	256	6.8524e-107	312.962	cd06195	FNR1	 - 	cl06868
Q#17 - WP_003772235.1	specific	223812	99	204	1.02731e-20	87.8476	COG0741	MltE	N	cl25968
Q#18 - WP_004565725.1	specific	235547	1	289	0	517.073	PRK05654	PRK05654	 - 	cl23717
Q#19 - WP_003770623.1	specific	235493	33	318	0	573.187	PRK05481	PRK05481	 - 	cl26932
Q#20 - WP_003771929.1	specific	225389	1	267	9.9348e-140	398.356	COG2833	COG2833	 - 	cl00264
Q#21 - WP_040665949.1	specific	235523	1	144	2.83933e-70	211.491	PRK05592	rplO	 - 	cl12022
Q#22 - WP_003775117.1	specific	234649	18	223	2.08997e-95	281.279	PRK00121	trmB	 - 	cl28535
Q#23 - WP_003773627.1	specific	235288	4	400	0	816.227	PRK04346	PRK04346	 - 	cl00342
Q#24 - WP_003770274.1	specific	223416	1	675	0	912.041	COG0339	Dcp	 - 	cl28510
Q#25 - WP_003773735.1	specific	235844	1	198	3.09176e-46	154.994	PRK06638	PRK06638	 - 	cl28524
Q#26 - WP_003775687.1	superfamily	333138	32	409	0	537.033	cl28318	PulE superfamily	 - 	 - 
Q#27 - WP_003771063.1	specific	234869	9	295	8.3624e-152	430.299	PRK00942	PRK00942	 - 	cl00452
Q#28 - WP_003772431.1	specific	234770	1	196	4.83559e-106	307.043	PRK00454	engB	 - 	cl21455
Q#29 - WP_041961373.1	superfamily	321092	21	254	9.75696e-113	328.131	cl00650	Cu-oxidase_4 superfamily	 - 	 - 
Q#30 - WP_041961407.1	specific	235455	1	146	4.83202e-80	236.471	PRK05422	smpB	 - 	cl00482
Q#31 - WP_040666366.1	superfamily	321418	1	296	8.05392e-151	428.892	cl01255	DAGK_cat superfamily	 - 	 - 
Q#32 - WP_003771401.1	specific	274669	3	275	3.10378e-134	386.094	TIGR03596	GTPase_YlqF	 - 	cl26335
Q#33 - WP_003772191.1	specific	181649	6	759	0	1735.62	PRK09103	PRK09103	 - 	cl27341
Q#34 - WP_040665771.1	specific	235976	6	757	0	1404.07	PRK07232	PRK07232	 - 	cl27704
Q#35 - WP_041961288.1	specific	235414	1	333	1.86098e-172	487.297	PRK05331	PRK05331	 - 	cl17212
Q#36 - WP_040665709.1	superfamily	333082	8	267	6.23957e-134	383.663	cl28262	PaaY superfamily	 - 	 - 
Q#37 - WP_003770261.1	specific	235362	6	631	0	1154.02	PRK05192	PRK05192	 - 	cl26065
Q#38 - WP_003774164.1	specific	227342	2	773	0	1005.69	COG5009	MrcA	 - 	cl27629
Q#39 - WP_040666485.1	specific	234761	5	349	0	523.532	PRK00436	argC	 - 	cl28361
