# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1	2256647	+							NELON_RS00005	558		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1	2256647	+	WP_082019632.1	WP_082019632.1		hypothetical protein			NELON_RS00005	558	185	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	299	700	-							NELON_RS11175	402		old_locus_tag=NELON_00010
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	299	700	-	WP_052437395.1	WP_052437395.1		hypothetical protein			NELON_RS11175	402	133	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	771	1037	-							NELON_RS11180	267		old_locus_tag=NELON_00015
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	771	1037	-	WP_052437398.1	WP_052437398.1		hypothetical protein			NELON_RS11180	267	88	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1232	1774	+							NELON_RS00015	543		old_locus_tag=NELON_00020
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1232	1774	+	WP_003769326.1	WP_003769326.1		hypothetical protein			NELON_RS00015	543	180	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	2089	3733	-							NELON_RS00020	1645		pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	2089	3733	-				membrane protein insertase YidC			NELON_RS00020	1645		pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	3959	4171	-							NELON_RS11315	213		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	3959	4171	-	WP_003769318.1	WP_003769318.1		membrane protein insertion efficiency factor YidD			NELON_RS11315	213	70	
